,PMID,Population
2262,31718597,"child, preschool"
2262,31718597,female
2262,31718597,male
2263,32210547,aged
2263,32210547,"aged, 80 and over"
2263,32210547,female
2263,32210547,male
2267,33011157,adult
2267,33011157,aged
2267,33011157,female
2267,33011157,male
2267,33011157,middle aged
2268,32197685,aged
2268,32197685,female
2268,32197685,male
2269,33185560,aged
2269,33185560,female
2269,33185560,male
2270,32325005,aged
2270,32325005,"aged, 80 and over"
2270,32325005,female
2270,32325005,male
2270,32325005,middle aged
2275,31712029,adult
2275,31712029,aged
2275,31712029,"aged, 80 and over"
2275,31712029,female
2275,31712029,male
2275,31712029,middle aged
2276,31618531,adult
2276,31618531,aged
2276,31618531,female
2276,31618531,male
2276,31618531,middle aged
2277,30998400,aged
2277,30998400,female
2277,30998400,male
2277,30998400,middle aged
2283,32872064,adult
2283,32872064,aged
2283,32872064,female
2283,32872064,male
2283,32872064,middle aged
2284,31410958,female
2289,31364807,aged
2289,31364807,female
2289,31364807,male
2289,31364807,middle aged
2290,32493557,adult
2290,32493557,child
2292,32389335,adult
2292,32389335,child
2292,32389335,female
2297,32923342,adolescent
2297,32923342,adult
2297,32923342,aged
2297,32923342,"aged, 80 and over"
2297,32923342,female
2297,32923342,male
2297,32923342,middle aged
2298,31474119,aged
2298,31474119,female
2298,31474119,male
2298,31474119,middle aged
2299,32877352,adolescent
2299,32877352,adult
2299,32877352,aged
2299,32877352,"aged, 80 and over"
2299,32877352,female
2299,32877352,male
2299,32877352,middle aged
2300,33189186,female
2301,32755347,aged
2301,32755347,"aged, 80 and over"
2301,32755347,female
2301,32755347,male
2301,32755347,middle aged
2306,34559058,aged
2310,33819166,adult
2310,33819166,female
2310,33819166,male
2311,34441038,aged
2314,34593374,aged
2314,34593374,female
2314,34593374,male
2314,34593374,middle aged
2319,33914438,female
2319,33914438,male
2320,33865810,adult
2320,33865810,aged
2320,33865810,female
2320,33865810,male
2320,33865810,middle aged
2320,33865810,young adult
2328,34542615,aged
2331,35090674,aged
2331,35090674,female
2331,35090674,male
2331,35090674,middle aged
2332,34587198,adult
2332,34587198,female
2332,34587198,male
2332,34587198,middle aged
2341,33136662,child
2341,33136662,female
2345,33656918,adult
2354,33750897,aged
2354,33750897,female
2354,33750897,male
2354,33750897,middle aged
2361,36018711,adult
2367,33513044,female
2374,34723346,child
2377,34257330,aged
2377,34257330,"aged, 80 and over"
2377,34257330,female
2377,34257330,male
2377,34257330,middle aged
2386,33882601,aged
2386,33882601,male
2387,34174247,adolescent
2387,34174247,child
2387,34174247,"child, preschool"
2387,34174247,female
2387,34174247,male
2388,35146508,child
2391,35983842,child
2393,32530031,aged
2398,32338334,aged
2399,36330550,adult
2405,33712521,child
2405,33712521,female
2405,33712521,male
2410,33818619,aged
2410,33818619,"aged, 80 and over"
2410,33818619,female
2410,33818619,male
2410,33818619,middle aged
2412,35559648,aged
2412,35559648,female
2412,35559648,male
2413,34708660,aged
2413,34708660,female
2413,34708660,male
2416,34282532,adult
2422,35987722,male
2422,35987722,aged
2422,35987722,female
2423,34227713,female
2423,34227713,male
2424,34045146,female
2428,33419397,adolescent
2428,33419397,adult
2428,33419397,female
2436,34511563,"aged, 80 and over"
2436,34511563,female
2440,33669951,aged
2440,33669951,female
2440,33669951,male
2440,33669951,middle aged
2445,33637632,aged
2445,33637632,female
2445,33637632,male
2445,33637632,middle aged
2446,34215541,child
2447,34824683,aged
2448,33434197,adolescent
2448,33434197,adult
2448,33434197,aged
2448,33434197,child
2448,33434197,"child, preschool"
2448,33434197,female
2448,33434197,infant
2448,33434197,"infant, newborn"
2448,33434197,male
2448,33434197,middle aged
2449,33606553,aged
2451,35724851,adult
2454,34470705,aged
2454,34470705,"aged, 80 and over"
2454,34470705,female
2454,34470705,male
2454,34470705,middle aged
2458,36333652,female
2458,36333652,aged
2458,36333652,male
2463,33727478,adolescent
2463,33727478,adult
2463,33727478,aged
2463,33727478,"aged, 80 and over"
2463,33727478,child
2463,33727478,"child, preschool"
2463,33727478,female
2463,33727478,infant
2463,33727478,"infant, newborn"
2463,33727478,male
2463,33727478,middle aged
2465,33556493,middle aged
2466,34358281,"child, preschool"
2466,34358281,infant
2466,34358281,"infant, newborn"
2466,34358281,male
2468,33838317,aged
2468,33838317,female
2468,33838317,male
2472,33744485,aged
2472,33744485,"aged, 80 and over"
2472,33744485,female
2472,33744485,male
2472,33744485,middle aged
2478,35404460,female
2479,33719584,child
2483,33565642,aged
2483,33565642,"aged, 80 and over"
2483,33565642,female
2483,33565642,male
2483,33565642,middle aged
2485,34196791,child
2489,33441002,aged
2489,33441002,female
2489,33441002,male
2489,33441002,middle aged
2497,33399539,adult
2497,33399539,child
2499,33792556,male
2499,33792556,middle aged
2501,33453199,adolescent
2501,33453199,child
2501,33453199,"child, preschool"
2501,33453199,female
2501,33453199,male
2501,33453199,young adult
2503,35357448,adult
2503,35357448,female
2503,35357448,male
2505,33634839,aged
2505,33634839,"aged, 80 and over"
2505,33634839,female
2505,33634839,male
2509,34929888,aged
2509,34929888,female
2509,34929888,male
2511,34088789,aged
2511,34088789,female
2511,34088789,male
2512,33813364,adult
2512,33813364,female
2516,36056720,aged
2516,36056720,"aged, 80 and over"
2516,36056720,female
2516,36056720,male
2516,36056720,middle aged
2517,33838316,aged
2517,33838316,"aged, 80 and over"
2517,33838316,female
2517,33838316,male
2517,33838316,middle aged
2522,34338369,child
2524,33443486,aged
2524,33443486,"aged, 80 and over"
2524,33443486,female
2524,33443486,male
2525,34565178,aged
2525,34565178,female
2525,34565178,male
2525,34565178,middle aged
2527,34042632,aged
2544,34030182,adult
2548,34622676,adult
2549,33570248,aged
2549,33570248,female
2549,33570248,male
2549,33570248,middle aged
2551,33560597,aged
2551,33560597,female
2551,33560597,male
2551,33560597,middle aged
2555,34288549,adult
2555,34288549,male
2555,34288549,middle aged
2557,33707523,aged
2557,33707523,female
2557,33707523,male
2557,33707523,middle aged
2558,33580174,adult
2558,33580174,aged
2558,33580174,female
2558,33580174,male
2558,33580174,middle aged
2560,33620322,female
2560,33620322,male
2562,33463044,adolescent
2562,33463044,adult
2562,33463044,aged
2562,33463044,"aged, 80 and over"
2562,33463044,female
2562,33463044,male
2562,33463044,middle aged
2565,35208535,aged
2566,36282505,adult
2566,36282505,female
2566,36282505,middle aged
2566,36282505,male
2567,35702985,child
2567,35702985,female
2569,33355801,child
2573,33803179,adolescent
2573,33803179,child
2574,34071326,female
2574,34071326,male
2576,34490460,infant
2577,34330073,adult
2577,34330073,female
2577,34330073,male
2577,34330073,middle aged
2577,34330073,young adult
2578,34574551,female
2578,34574551,male
2580,34347261,aged
2580,34347261,"aged, 80 and over"
2580,34347261,female
2580,34347261,male
2582,36155484,adult
2583,33481463,aged
2585,33668921,adult
2585,33668921,female
2585,33668921,male
2587,33882538,adult
2587,33882538,female
2587,33882538,male
2592,34074907,adolescent
2592,34074907,adult
2593,35917486,female
2593,35917486,male
2595,34053106,aged
2595,34053106,female
2595,34053106,male
2595,34053106,middle aged
2596,35137786,aged
2596,35137786,male
2596,35137786,middle aged
2602,35135963,female
2603,33835158,adult
2603,33835158,female
2603,33835158,infant
2603,33835158,"infant, newborn"
2603,33835158,male
2606,33449839,child
2606,33449839,infant
2606,33449839,"infant, newborn"
2608,34151444,adolescent
2608,34151444,young adult
2610,33687375,middle aged
2611,34591876,adult
2611,34591876,aged
2611,34591876,female
2611,34591876,male
2611,34591876,middle aged
2612,36084277,female
2613,34255565,aged
2613,34255565,female
2613,34255565,male
2616,33377898,female
2616,33377898,male
2616,33377898,middle aged
2617,34392874,adolescent
2617,34392874,adult
2617,34392874,female
2619,34432060,adult
2621,33273399,adult
2621,33273399,female
2621,33273399,male
2621,33273399,middle aged
2622,33537998,adult
2622,33537998,female
2622,33537998,male
2624,33444153,adult
2624,33444153,aged
2624,33444153,female
2624,33444153,male
2624,33444153,middle aged
2626,34154460,child
2627,33980201,child
2627,33980201,female
2627,33980201,"infant, newborn"
2627,33980201,pregnant women
2629,34182596,aged
2629,34182596,"aged, 80 and over"
2629,34182596,female
2629,34182596,male
2629,34182596,middle aged
2631,34252387,female
2631,34252387,male
2631,34252387,middle aged
2633,34107219,"child, preschool"
2633,34107219,female
2636,34239147,aged
2636,34239147,female
2636,34239147,male
2636,34239147,middle aged
2639,33793309,aged
2639,33793309,middle aged
2644,33725890,adult
2644,33725890,aged
2644,33725890,female
2644,33725890,male
2644,33725890,middle aged
2645,33849611,child
2649,35041828,aged
2649,35041828,"aged, 80 and over"
2649,35041828,female
2650,36003633,aged
2657,33833945,aged
2657,33833945,female
2657,33833945,middle aged
2658,34559014,aged
2660,35168981,female
2660,35168981,pregnant women
2661,33370240,"infant, newborn"
2662,34973060,adolescent
2662,34973060,female
2666,36227851,aged
2668,36270962,female
2672,35994345,female
2672,35994345,male
2674,34841554,adult
2675,35436376,adolescent
2677,34216814,adult
2683,35333946,child
2683,35333946,infant
2685,35148739,adult
2685,35148739,female
2685,35148739,male
2686,34865668,child
2686,34865668,"infant, newborn"
2687,33729014,female
2693,34763192,aged
2695,35665833,female
2697,35343513,adult
2701,36011519,female
2701,36011519,male
2704,34101507,adult
2704,34101507,aged
2704,34101507,female
2704,34101507,male
2704,34101507,middle aged
2708,35972792,adult
2709,35649057,adult
2709,35649057,aged
2709,35649057,female
2709,35649057,male
2709,35649057,middle aged
2710,34334715,aged
2710,34334715,female
2710,34334715,male
2710,34334715,middle aged
2711,35228247,female
2712,35208484,female
2712,35208484,male
2713,35861762,child
2713,35861762,female
2713,35861762,male
2716,35035528,aged
2716,35035528,"aged, 80 and over"
2716,35035528,female
2716,35035528,male
2716,35035528,middle aged
2717,36398411,male
2717,36398411,female
2721,35164751,adult
2722,35273051,aged
2723,36076044,female
2725,35061749,adult
2725,35061749,aged
2725,35061749,female
2725,35061749,male
2725,35061749,middle aged
2728,35522660,female
2728,35522660,male
2728,35522660,middle aged
2730,34652039,adult
2730,34652039,male
2730,34652039,middle aged
2732,34454810,aged
2732,34454810,female
2732,34454810,male
2732,34454810,middle aged
2735,35262490,male
2735,35262490,middle aged
2740,34756108,adult
2740,34756108,female
2740,34756108,male
2740,34756108,middle aged
2742,34269863,aged
2742,34269863,female
2742,34269863,male
2742,34269863,middle aged
2743,35798525,male
2743,35798525,middle aged
2745,35957207,adult
2745,35957207,female
2749,35902205,female
2750,35126625,adolescent
2750,35126625,adult
2750,35126625,aged
2750,35126625,female
2750,35126625,male
2750,35126625,middle aged
2752,34883524,aged
2756,34238446,aged
2756,34238446,female
2756,34238446,male
2756,34238446,middle aged
2759,34475154,aged
2760,33516681,adolescent
2760,33516681,female
2760,33516681,male
2761,35699174,adult
2761,35699174,female
2764,34344729,adolescent
2764,34344729,aged
2767,33792019,male
2768,34891346,aged
2769,33824131,aged
2769,33824131,"aged, 80 and over"
2769,33824131,female
2769,33824131,male
2776,35446209,female
2776,35446209,infant
2776,35446209,"infant, newborn"
2778,35598589,child
2778,35598589,infant
2779,33900203,adult
2780,34028359,aged
2780,34028359,middle aged
2783,34400141,adult
2784,33415777,adult
2784,33415777,aged
2784,33415777,female
2784,33415777,male
2784,33415777,middle aged
2787,34315174,female
2788,34740221,adult
2791,35065922,female
2793,34610049,aged
2793,34610049,female
2793,34610049,male
2793,34610049,middle aged
2794,35294855,male
2795,35125433,adult
2796,35192020,child
2798,34587763,aged
2798,34587763,"aged, 80 and over"
2798,34587763,female
2798,34587763,male
2798,34587763,middle aged
2800,35229656,aged
2802,34352841,female
2802,34352841,"infant, newborn"
2803,35527279,aged
2803,35527279,"aged, 80 and over"
2803,35527279,female
2803,35527279,male
2804,34855154,aged
2806,34949290,adolescent
2806,34949290,adult
2806,34949290,aged
2806,34949290,"aged, 80 and over"
2806,34949290,female
2806,34949290,male
2806,34949290,middle aged
2806,34949290,young adult
2809,34290502,aged
2809,34290502,middle aged
2813,35897022,adult
2815,33526375,aged
2815,33526375,"aged, 80 and over"
2815,33526375,female
2815,33526375,male
2815,33526375,middle aged
2816,33737321,adult
2816,33737321,aged
2816,33737321,female
2816,33737321,male
2816,33737321,middle aged
2817,36269782,female
2817,36269782,adult
2818,34453676,adult
2819,33416503,adult
2819,33416503,female
2819,33416503,male
2820,34459842,female
2820,34459842,male
2820,34459842,middle aged
2821,34591026,adolescent
2821,34591026,adult
2821,34591026,aged
2821,34591026,female
2821,34591026,male
2821,34591026,middle aged
2824,34762863,adolescent
2824,34762863,female
2824,34762863,infant
2825,33972338,adolescent
2825,33972338,adult
2829,34365801,female
2829,34365801,infant
2829,34365801,"infant, newborn"
2829,34365801,male
2830,33206126,aged
2830,33206126,female
2830,33206126,male
2830,33206126,middle aged
2833,35687779,aged
2833,35687779,"aged, 80 and over"
2833,35687779,middle aged
2836,34877659,adult
2836,34877659,female
2838,34711377,adult
2838,34711377,aged
2838,34711377,"aged, 80 and over"
2838,34711377,female
2838,34711377,male
2838,34711377,middle aged
2843,36370146,female
2843,36370146,aged
2843,36370146,"aged, 80 and over"
2843,36370146,male
2844,34769859,adult
2844,34769859,aged
2844,34769859,middle aged
2848,34301725,female
2848,34301725,male
2848,34301725,middle aged
2850,35305580,aged
2850,35305580,female
2850,35305580,male
2850,35305580,middle aged
2853,34902312,female
2857,33627775,child
2858,33464959,aged
2858,33464959,female
2858,33464959,male
2858,33464959,middle aged
2859,34515541,adult
2860,34228043,aged
2860,34228043,female
2860,34228043,male
2861,34403376,female
2861,34403376,male
2861,34403376,middle aged
2862,36148649,adult
2862,36148649,female
2862,36148649,middle aged
2862,36148649,male
2863,33650721,adult
2863,33650721,female
2863,33650721,male
2863,33650721,middle aged
2864,35427443,adolescent
2865,34155907,adult
2865,34155907,aged
2865,34155907,male
2865,34155907,middle aged
2870,34559832,aged
2870,34559832,female
2870,34559832,male
2872,36156147,aged
2872,36156147,female
2872,36156147,male
2873,35841036,adult
2873,35841036,aged
2873,35841036,female
2873,35841036,middle aged
2875,35259237,adult
2876,34472895,male
2876,34472895,middle aged
2877,34932104,aged
2877,34932104,female
2877,34932104,male
2879,34728462,adolescent
2879,34728462,child
2879,34728462,"child, preschool"
2879,34728462,female
2879,34728462,male
2880,33321517,adult
2880,33321517,aged
2880,33321517,female
2880,33321517,male
2880,33321517,middle aged
2885,36195342,aged
2885,36195342,female
2885,36195342,male
2887,34009347,adult
2887,34009347,aged
2887,34009347,female
2887,34009347,male
2887,34009347,middle aged
2888,33706351,adult
2888,33706351,female
2890,35675796,female
2890,35675796,male
2891,33902656,adult
2891,33902656,aged
2891,33902656,middle aged
2896,33847599,aged
2896,33847599,male
2898,33534416,child
2898,33534416,"child, preschool"
2902,19929234,adult
2902,19929234,aged
2902,19929234,"aged, 80 and over"
2902,19929234,middle aged
2902,19929234,young adult
2913,20008054,aged
2913,20008054,"aged, 80 and over"
2913,20008054,middle aged
2916,21080835,aged
2916,21080835,female
2916,21080835,male
2916,21080835,middle aged
2919,20232605,female
2919,20232605,male
2919,20232605,middle aged
2920,21041174,adult
2920,21041174,aged
2920,21041174,child
2924,19682165,aged
2924,19682165,female
2924,19682165,male
2925,20554500,aged
2925,20554500,middle aged
2928,19382861,adolescent
2928,19382861,adult
2928,19382861,aged
2928,19382861,female
2928,19382861,male
2928,19382861,middle aged
2929,19707821,aged
2929,19707821,female
2929,19707821,male
2929,19707821,middle aged
2932,20033515,"infant, newborn"
2935,19831704,aged
2935,19831704,"aged, 80 and over"
2936,20064067,aged
2936,20064067,female
2936,20064067,male
2936,20064067,middle aged
2937,20042423,female
2937,20042423,male
2937,20042423,middle aged
2940,20215333,adolescent
2940,20215333,adult
2940,20215333,child
2940,20215333,"child, preschool"
2940,20215333,female
2940,20215333,male
2940,20215333,middle aged
2940,20215333,young adult
2942,20455985,aged
2942,20455985,"aged, 80 and over"
2942,20455985,female
2942,20455985,male
2942,20455985,middle aged
2943,20925563,female
2946,19797150,adolescent
2946,19797150,adult
2946,19797150,aged
2946,19797150,"aged, 80 and over"
2946,19797150,female
2946,19797150,male
2946,19797150,middle aged
2946,19797150,young adult
2948,20371411,aged
2948,20371411,"aged, 80 and over"
2948,20371411,female
2948,20371411,male
2948,20371411,middle aged
2950,21098580,female
2950,21098580,male
2952,21096290,adult
2952,21096290,middle aged
2952,21096290,young adult
2953,19199844,aged
2953,19199844,"aged, 80 and over"
2953,19199844,female
2953,19199844,male
2953,19199844,middle aged
2954,20409630,child
2954,20409630,"child, preschool"
2954,20409630,female
2954,20409630,infant
2954,20409630,male
2955,19292626,adolescent
2955,19292626,adult
2955,19292626,male
2955,19292626,young adult
2956,20591841,aged
2956,20591841,female
2956,20591841,male
2956,20591841,middle aged
2957,20225911,aged
2957,20225911,"aged, 80 and over"
2957,20225911,female
2957,20225911,male
2957,20225911,middle aged
2960,19581043,aged
2960,19581043,female
2960,19581043,male
2961,19403370,aged
2962,20698410,female
2962,20698410,middle aged
2963,19139220,adult
2963,19139220,female
2963,19139220,male
2964,21103745,female
2964,21103745,male
2964,21103745,middle aged
2966,20348874,aged
2966,20348874,female
2966,20348874,male
2967,21096913,female
2970,19720767,adult
2970,19720767,aged
2970,19720767,"aged, 80 and over"
2970,19720767,female
2970,19720767,male
2970,19720767,middle aged
2970,19720767,young adult
2974,19292623,adult
2974,19292623,aged
2974,19292623,"aged, 80 and over"
2974,19292623,female
2974,19292623,male
2974,19292623,middle aged
2976,19897185,female
2978,19448582,adolescent
2978,19448582,adult
2978,19448582,aged
2978,19448582,"aged, 80 and over"
2978,19448582,child
2978,19448582,middle aged
2978,19448582,young adult
2979,21128846,aged
2979,21128846,female
2979,21128846,male
2980,20070163,aged
2980,20070163,female
2980,20070163,male
2980,20070163,middle aged
2983,19602024,aged
2983,19602024,female
2983,19602024,male
2985,19812805,aged
2985,19812805,female
2985,19812805,male
2985,19812805,middle aged
2986,20615815,aged
2986,20615815,male
2987,19730249,adult
2987,19730249,aged
2987,19730249,female
2987,19730249,male
2987,19730249,middle aged
2988,20800198,adult
2988,20800198,female
2988,20800198,male
2989,21154300,adolescent
2989,21154300,adult
2989,21154300,aged
2989,21154300,female
2989,21154300,male
2989,21154300,middle aged
2989,21154300,young adult
2992,19566401,aged
2992,19566401,"aged, 80 and over"
2992,19566401,female
2992,19566401,male
2993,19948507,infant
2993,19948507,"infant, newborn"
2995,21096428,aged
2995,21096428,female
2995,21096428,male
2995,21096428,middle aged
2997,20484324,aged
3000,19590027,aged
3000,19590027,"aged, 80 and over"
3000,19590027,female
3000,19590027,male
3000,19590027,middle aged
3001,19114904,adult
3001,19114904,middle aged
3003,18760959,aged
3003,18760959,female
3003,18760959,male
3003,18760959,middle aged
3004,18776998,aged
3004,18776998,female
3004,18776998,male
3004,18776998,middle aged
3005,21115435,adult
3005,21115435,aged
3005,21115435,female
3005,21115435,male
3005,21115435,middle aged
3006,18786954,child
3006,18786954,"child, preschool"
3006,18786954,female
3006,18786954,infant
3006,18786954,"infant, newborn"
3006,18786954,male
3008,19720768,adult
3008,19720768,aged
3008,19720768,"aged, 80 and over"
3008,19720768,female
3008,19720768,male
3008,19720768,middle aged
3009,19390339,aged
3009,19390339,female
3009,19390339,male
3014,20662868,female
3014,20662868,male
3014,20662868,middle aged
3015,19548823,aged
3015,19548823,"aged, 80 and over"
3015,19548823,middle aged
3016,20515476,aged
3016,20515476,middle aged
3017,19218576,adult
3017,19218576,female
3017,19218576,male
3017,19218576,middle aged
3018,20421189,aged
3018,20421189,"aged, 80 and over"
3018,20421189,female
3018,20421189,male
3018,20421189,middle aged
3019,20233536,female
3019,20233536,male
3019,20233536,middle aged
3020,21200105,child
3020,21200105,female
3022,19471029,aged
3022,19471029,"aged, 80 and over"
3022,19471029,female
3022,19471029,male
3023,19442285,female
3023,19442285,male
3023,19442285,middle aged
3025,20021651,adult
3025,20021651,female
3025,20021651,male
3025,20021651,middle aged
3026,18809294,aged
3026,18809294,female
3026,18809294,male
3028,20691830,aged
3028,20691830,female
3028,20691830,male
3028,20691830,middle aged
3030,19289900,aged
3030,19289900,"aged, 80 and over"
3030,19289900,female
3030,19289900,male
3031,21191167,aged
3031,21191167,"aged, 80 and over"
3031,21191167,female
3031,21191167,male
3031,21191167,middle aged
3032,20883060,aged
3032,20883060,female
3032,20883060,male
3033,19398082,adult
3033,19398082,aged
3033,19398082,female
3033,19398082,male
3033,19398082,middle aged
3034,19521935,female
3034,19521935,male
3034,19521935,middle aged
3035,19103654,adult
3035,19103654,aged
3035,19103654,female
3035,19103654,male
3035,19103654,middle aged
3036,20615108,adult
3036,20615108,aged
3036,20615108,female
3036,20615108,male
3036,20615108,middle aged
3037,19335855,female
3037,19335855,male
3037,19335855,middle aged
3039,19755186,aged
3039,19755186,female
3039,19755186,male
3040,19806390,adolescent
3040,19806390,child
3040,19806390,"child, preschool"
3040,19806390,female
3040,19806390,male
3042,19815903,aged
3042,19815903,"aged, 80 and over"
3042,19815903,female
3042,19815903,male
3042,19815903,middle aged
3043,20416042,adult
3043,20416042,aged
3043,20416042,middle aged
3044,18222552,aged
3044,18222552,female
3044,18222552,male
3044,18222552,middle aged
3046,19895530,male
3046,19895530,middle aged
3048,19011260,aged
3048,19011260,female
3048,19011260,male
3050,19687005,aged
3050,19687005,female
3050,19687005,male
3050,19687005,middle aged
3053,20650358,aged
3053,20650358,female
3053,20650358,male
3053,20650358,middle aged
3054,20350694,aged
3054,20350694,"aged, 80 and over"
3054,20350694,female
3054,20350694,male
3054,20350694,middle aged
3055,19405158,aged
3055,19405158,male
3056,19944870,aged
3056,19944870,"aged, 80 and over"
3056,19944870,female
3056,19944870,male
3059,20646105,aged
3061,18975066,female
3061,18975066,male
3061,18975066,middle aged
3062,20703932,adolescent
3062,20703932,adult
3062,20703932,aged
3062,20703932,child
3062,20703932,female
3062,20703932,male
3062,20703932,middle aged
3062,20703932,young adult
3068,20545246,adolescent
3068,20545246,adult
3068,20545246,child
3068,20545246,"child, preschool"
3068,20545246,infant
3068,20545246,"infant, newborn"
3068,20545246,young adult
3069,19964061,aged
3073,20455974,female
3073,20455974,male
3073,20455974,middle aged
3075,20184454,female
3076,19335863,male
3076,19335863,middle aged
3077,19250110,female
3077,19250110,male
3078,19610253,female
3078,19610253,male
3081,19423877,"child, preschool"
3081,19423877,infant
3082,21095710,aged
3082,21095710,"aged, 80 and over"
3082,21095710,middle aged
3177,23190602,female
3177,23190602,male
3189,22165577,adolescent
3189,22165577,adult
3189,22165577,aged
3189,22165577,female
3189,22165577,male
3189,22165577,middle aged
3189,22165577,young adult
3273,22520519,adolescent
3273,22520519,female
3273,22520519,male
3391,25160301,adult
3391,25160301,aged
3391,25160301,"aged, 80 and over"
3391,25160301,female
3391,25160301,male
3391,25160301,middle aged
3463,24618349,adult
3463,24618349,aged
3463,24618349,female
3463,24618349,male
3463,24618349,middle aged
3522,24443928,aged
3522,24443928,"aged, 80 and over"
3522,24443928,female
3522,24443928,male
3522,24443928,middle aged
3745,27076568,adult
3745,27076568,aged
3745,27076568,female
3745,27076568,male
3745,27076568,middle aged
3871,27976955,aged
3871,27976955,"aged, 80 and over"
3871,27976955,female
3871,27976955,male
3871,27976955,middle aged
3941,27332465,aged
3941,27332465,"aged, 80 and over"
3941,27332465,female
3941,27332465,male
3941,27332465,middle aged
3969,26210071,adolescent
3969,26210071,adult
3969,26210071,female
3969,26210071,young adult
3970,25589330,adult
3970,25589330,female
3970,25589330,middle aged
4108,29909641,adult
4108,29909641,aged
4108,29909641,"aged, 80 and over"
4108,29909641,female
4108,29909641,male
4108,29909641,middle aged
4112,29921933,adult
4112,29921933,aged
4112,29921933,"aged, 80 and over"
4112,29921933,female
4112,29921933,male
4112,29921933,middle aged
4172,29806998,adult
4172,29806998,aged
4172,29806998,male
4172,29806998,middle aged
4179,29792202,female
4179,29792202,male
4179,29792202,middle aged
4208,29970409,adult
4262,29132619,adult
4262,29132619,aged
4262,29132619,"aged, 80 and over"
4262,29132619,female
4262,29132619,male
4262,29132619,middle aged
4262,29132619,young adult
4282,29414907,adult
4282,29414907,female
4282,29414907,male
4282,29414907,middle aged
4324,29519777,female
4324,29519777,male
4324,29519777,middle aged
4361,28464725,adult
4361,28464725,male
4377,29973165,adolescent
4377,29973165,adult
4377,29973165,aged
4377,29973165,female
4377,29973165,male
4377,29973165,middle aged
4389,28363359,adult
4389,28363359,young adult
4420,30761923,female
4420,30761923,male
4420,30761923,middle aged
4558,31018704,adult
4588,32340530,adult
4588,32340530,aged
4588,32340530,female
4588,32340530,male
4588,32340530,middle aged
4677,33226986,aged
4677,33226986,"aged, 80 and over"
4677,33226986,female
4677,33226986,male
4677,33226986,middle aged
4680,32772509,female
4680,32772509,male
4680,32772509,middle aged
4689,31639002,aged
4689,31639002,female
4689,31639002,male
4689,31639002,middle aged
4723,31970652,female
4881,31806699,adolescent
4881,31806699,adult
4881,31806699,child
4881,31806699,"child, preschool"
4881,31806699,infant
4881,31806699,young adult
4910,31215173,adult
4910,31215173,female
4910,31215173,male
4910,31215173,middle aged
4917,30821079,adolescent
4917,30821079,adult
4917,30821079,female
4917,30821079,male
4917,30821079,young adult
4918,31806411,aged
4918,31806411,female
4918,31806411,middle aged
4940,31965765,female
4943,32785044,adult
4943,32785044,female
4968,32594794,aged
4968,32594794,"aged, 80 and over"
4968,32594794,female
4968,32594794,male
4968,32594794,middle aged
4976,32593307,aged
4977,32034018,adult
4977,32034018,female
4977,32034018,male
4977,32034018,middle aged
4989,31840163,"child, preschool"
4990,33302871,adolescent
4990,33302871,adult
4990,33302871,aged
4990,33302871,"aged, 80 and over"
4990,33302871,female
4990,33302871,male
4990,33302871,middle aged
4992,32703201,aged
4992,32703201,female
4992,32703201,male
4992,32703201,middle aged
4996,32720908,adolescent
4996,32720908,adult
4996,32720908,aged
4996,32720908,female
4996,32720908,male
4996,32720908,middle aged
4997,31159779,adult
4997,31159779,aged
4997,31159779,female
4997,31159779,male
4997,31159779,middle aged
5003,32945773,adult
5003,32945773,female
5003,32945773,male
5003,32945773,middle aged
5007,32130198,adult
5007,32130198,female
5010,31763746,female
5010,31763746,middle aged
5011,31579026,adult
5011,31579026,female
5011,31579026,male
5011,31579026,middle aged
5013,32795352,child
5013,32795352,female
5013,32795352,male
5014,33144141,female
5014,33144141,male
5014,33144141,middle aged
5024,32014842,adult
5024,32014842,aged
5024,32014842,"aged, 80 and over"
5024,32014842,female
5024,32014842,male
5024,32014842,middle aged
5027,31579020,adult
5027,31579020,female
5027,31579020,male
5519,36264611,female
5544,33735480,adult
5544,33735480,child
5554,33822029,female
5554,33822029,male
5554,33822029,middle aged
5557,35418357,adolescent
5557,35418357,child
5566,35818770,aged
5568,36211643,female
5568,36211643,male
5571,34647695,aged
5571,34647695,"aged, 80 and over"
5571,34647695,female
5571,34647695,male
5590,33792548,child
5594,34787572,adolescent
5594,34787572,female
5594,34787572,male
5599,33709937,adult
5599,33709937,female
5604,34397391,adolescent
5604,34397391,adult
5604,34397391,aged
5604,34397391,female
5605,34796465,adult
5606,35972832,child
5606,35972832,female
5607,35533220,female
5607,35533220,male
5607,35533220,middle aged
5608,33904821,adolescent
5608,33904821,adult
5608,33904821,aged
5608,33904821,female
5608,33904821,male
5608,33904821,middle aged
5610,34847063,child
5675,20177647,aged
5675,20177647,female
5675,20177647,male
5675,20177647,middle aged
5675,20177647,young adult
5729,20028192,adult
5729,20028192,female
5729,20028192,male
5729,20028192,middle aged
5729,20028192,young adult
